year;model_name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;reference_path;;;1119954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit;;;01.01.2023;350501; 46.586.557 ;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[kg co2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];[kg CO2e];;;;;
icev;Sportwagen;911;706306,7093;0,029041031;24320993;0,016580557;1683;1608;0;1608;43,2;1564,8;12545;gasoline;8,4;0;9,5;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2393,724497;1690703672
icev;MiniVan;B-Klasse;1390585,271;0,057176336;24320993;0,032644003;1651;1576;0;1576;33,75;1542,25;12545;gasoline;5,6;0;5,8;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1595,816331;2219118685
icev;GroﬂraumVans;Touran;2004748,373;0,169943516;11796557;0,037200357;1847;1772;0;1772;39,15;1732,85;12545;diesel;4,5;0;7,1;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1400,022;2806691826
icev;Utilities;Transporter;823781,335;0,069832353;11796557;0,015286188;2062;1987;0;1987;54;1933;12545;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2177,812;1794040877
icev;Wohnwagen;FiatDucato;1110512,71;0,094138714;11796557;0,02060681;2966;2891;0;2891;50,625;2840,375;12545;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2333,37;2591237043
hev;Mini;fiat500;43756;0,041317952;1059007;0,000800549;1177;1102;6;1096;23,625;1072,375;12545;gasoline;5,3;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1510,326171;66085831,92
hev;Kleinwagen;kia rio;237345;0,224120332;1059007;0,004342404;1278;1203;6;1197;27;1170;12545;gasoline;5,4;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1538,822891;365231919
hev;Kompaktklasse;Golf ;255200;0,240980466;1059007;0,004669074;1528;1453;6;1447;37,125;1409,875;12545;gasoline;5,2;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1481,82945;378162875,7
hev;Mittelklasse; C-Klasse;236830;0,223634027;1059007;0,004332982;1758;1683;6;1677;27;1650;12545;gasoline;6,3;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1795,293373;425179329,4
hev;obereMittelklasse;A6;150573;0,355592134;423443;0,002754845;1972;1897;6;1891;43,875;1847,125;12545;diesel;7,4;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2302,2584;346657954,1
hev;Oberklasse;A8 ;23436;0,022130165;1059007;0,000428779;2238;2163;6;2157;48,6;2108,4;12545;gasoline;9,5;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2707,188419;63445667,79
hev;SUV;x1;301941;0,285117096;1059007;0,005524236;1698;1623;6;1617;34,425;1582,575;12545;gasoline;6,1;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1738,299932;524864019,8
hev;Gel‰ndewagen;nissan x-trail;190283;0,44937099;423443;0,00348137;2005;1930;6;1924;39,15;1884,85;12545;diesel;7,1;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2208,9236;420320609,4
hev;Sportwagen;mercedes sl;10419;0,009838462;1059007;0,000190623;1683;1608;6;1602;43,2;1558,8;12545;gasoline;8,4;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2393,724497;24940215,53
hev;MiniVan;B-Klasse;1001;0,002363955;423443;1,8314E-05;1651;1576;6;1570;33,75;1536,25;12545;diesel;5,6;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1742,2496;1743991,85
hev;GroﬂraumVans;peugeot 5008;11027;0,010412585;1059007;0,000201747;1847;1772;6;1766;39,15;1726,85;12545;gasoline;4,5;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1282,352409;14140500,01
hev;Utilities;ford transit ;8598;0,020304976;423443;0,000157307;2062;1987;6;1981;54;1927;12545;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2177,812;18724827,58
hev;Wohnwagen;land rover defender ;46;0,000108633;423443;8,41604E-07;2966;2891;6;2885;50,625;2834,375;12545;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2333,37;107335,02
phev;Mini;not available ;0,00;0;1410000,00;0;0;0;0;0;0;0;12545;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
phev;Kleinwagen;Golf;23489,10;0,01665894;1410000,00;0,000262965;1624;1549;130;1419;23,625;1395,375;12545;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;313,4639222;7362986,978
phev;Kompaktklasse;A3;288924,33;0,20491087;1410000,00;0,00323456;1635;1560;130;1430;27;1403;12545;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;12,8;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;313,4639222;90567352,45
phev;Mittelklasse;VWPassat;221240,14;0,156907902;1410000,00;0,002476823;1759;1684;130;1554;33,75;1520,25;12545;hybrid;1,3;16,3;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;370,4573626;81960039,63
phev;obereMittelklasse;E300e9G-Tronics;104989,26;0,074460465;1410000,00;0,001175374;1985;1910;135;1775;33,75;1741,25;12545;hybrid;1,5;17;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;13,5;90;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;427,450803;44877741,64
phev;Oberklasse;Porschepanamera;15708,43;0,011140731;1410000,00;0,000175859;2285;2210;179;2031;54;1977;12545;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;17,9;100;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;655,4245646;10295691,47
phev;SUV;Renaultcapture;435510,20;0,308872482;1410000,00;0,004875615;1616;1541;103;1438;26,325;1411,675;12545;hybrid;1,5;17,3;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;9,8;49;25;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;427,450803;186159184,5
phev;Gel‰ndewagen;volvoXC40;279463,64;0,198201164;1410000,00;0,003128646;1812;1737;107;1630;32,4;1597,6;12545;hybrid;2,1;15,2;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;10,7;60;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;598,4311242;167239740,7
phev;Sportwagen;Porschepanamera;3490,76;2,48E-03;1410000,00;3,90797E-05;2285;2210;179;2031;54;1977;12545;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;17,9;100;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;655,4245646;2287931,439
phev;MiniVan;Peogeot3008;30307,20;0,021494471;1410000,00;0,000339295;1908;1833;142;1691;29,025;1661,975;12545;hybrid;1,3;15,3;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;14,2;81;83;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;370,4573626;11227527,09
phev;GroﬂraumVans;not available ;3,27;2,32E-06;1410000,00;3,65915E-08;0;0;0;0;0;0;12545;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
phev;Utilities;VWMultivan;6865,49;4,87E-03;1410000,00;7,68604E-05;2257;2182;130;2052;30,375;2021,625;12545;hybrid;1,8;17,3;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;512,9409636;3521592,565
phev;Wohnwagen;not available ;8,17;5,80E-06;1410000,00;9,14787E-08;0;0;0;0;0;0;12545;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;Mini;fiat500e;1579620,21;0,197452527;8000000,00;0,197452527;1330;1255;182;1073;0;1073;12545;battery;0;13;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;23,8;70;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;Kleinwagen;renaultzoe;1739834,55;0,217479319;8000000,00;0,217479319;1577;1502;326;1176;0;1176;12545;battery;0;17,2;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;44,1;80;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;Kompaktklasse;VWID.3;1099080,55;0,137385069;8000000,00;0,137385069;1815;1740;364;1376;0;1376;12545;battery;0;15,2;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;62;150;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;Mittelklasse;Model3;698393,64;0,087299205;8000000,00;0,087299205;1825;1750;310;1440;0;1440;12545;battery;0;14,4;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;62;208;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;obereMittelklasse;i4;25393,24;0,003174155;8000000,00;0,003174155;2125;2050;419,5;1630,5;0;1630,5;12545;battery;0;16,3;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;83,9;250;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;Oberklasse;Taycan;191371,55;0,023921443;8000000,00;0,023921443;2125;2050;396;1654;0;1654;12545;battery;0;20,3;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;79,2;300;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;SUV;ModelY;2241140,39;0,280142549;8000000,00;0,280142549;1984;1909;475;1434;0;1434;12545;battery;0;15,7;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;62;220;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;Gel‰ndewagen;Q8;267527,42;0,033440927;8000000,00;0,033440927;2585;2510;475;2035;0;2035;12545;battery;0;20,3;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;95;200;200;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;Sportwagen;not available ;278,26;3,47825E-05;8000000,00;3,47825E-05;0;0;0;0;0;0;12545;battery;0;0;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;MiniVan;Kiae-Soul;50738,78;0,006342348;8000000,00;0,006342348;1610;1535;315;1220;0;1220;12545;battery;0;15,6;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;42;100;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;GroﬂraumVans;pro ace city toyota ;27372,86;0,003421608;8000000,00;0,003421608;1664;1589;250;1339;0;1339;12545;battery;0;19,4;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;50;100;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;Utilities;e-Sprinter;78747,67;0,009843459;8000000,00;0,009843459;2455;2380;205;2175;0;2175;12545;battery;0;33,9;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;41;85;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
bev;Wohnwagen;not available ;500,87;6,26086E-05;8000000,00;6,26086E-05;0;0;0;0;0;0;12545;battery;0;0;;6,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
lkw;MittelschwererLkwimVerteilverkehrICEDiesel;;;;;;12800;;;;;12800;50000;lkw_diesel;25,66;254;;3,365625;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;29144,1148;0
lkw;SchwererLKWimTransitverkehrICEDiesel;;;;;;14700;;;;;14700;50000;lkw_diesel;31,9;316;;3,458639456;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;36231,382;0
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-EEONC;;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;270;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
