year;model_name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;reference_path;;;1119954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit;;;01.01.2023;350501; 45.116.102 ;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[kg co2e/l];[g co2e/kWh];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];[kg CO2e];;;
icev;Gel‰ndewagen;Tiguan;2580858,45;0,218780653;11796557,00;0,048923594;1677;1602;0;1602;41,085;1560,915;13739;diesel;5,3;0;7;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
icev;Sportwagen;911;663603,18;0,029041031;22850538,00;0,016580557;1683;1608;0;1608;43,2;1564,8;13739;gasoline;8,4;0;9,5;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
icev;MiniVan;B-Klasse;1306510,04;0,057176336;22850538,00;0,032644003;1651;1576;0;1576;33,75;1542,25;13739;gasoline;5,6;0;5,8;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
icev;GroﬂraumVans;Touran;2004748,37;0,169943516;11796557,00;0,037200357;1847;1772;0;1772;39,15;1732,85;13739;diesel;4,5;0;7,1;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
icev;Utilities;Transporter;823781,34;0,069832353;11796557,00;0,015286188;2062;1987;0;1987;54;1933;13739;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
icev;Wohnwagen;FiatDucato;1110512,71;0,094138714;11796557,00;0,02060681;2966;2891;0;2891;50,625;2840,375;13739;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Mini;fiat500;43756,00;0,041317952;1059007;0,000800549;1177;1102;6;1096;23,625;1072,375;13739;gasoline;5,3;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Kleinwagen;kia rio;237345,00;0,224120332;1059007;0,004342404;1278;1203;6;1197;27;1170;13739;gasoline;5,4;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Kompaktklasse;Golf ;255200,00;0,240980466;1059007;0,004669074;1528;1453;6;1447;37,125;1409,875;13739;gasoline;5,2;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Mittelklasse; C-Klasse;236830,00;0,223634027;1059007;0,004332982;1758;1683;6;1677;27;1650;13739;gasoline;6,3;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;obereMittelklasse;A6;150573,00;0,355592134;423443;0,002754845;1972;1897;6;1891;43,875;1847,125;13739;diesel;7,4;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Oberklasse;A8 ;23436,00;0,022130165;1059007;0,000428779;2238;2163;6;2157;48,6;2108,4;13739;gasoline;9,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;SUV;x1;301941,00;0,285117096;1059007;0,005524236;1698;1623;6;1617;34,425;1582,575;13739;gasoline;6,1;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Gel‰ndewagen;nissan x-trail;190283,00;0,44937099;423443;0,00348137;2005;1930;6;1924;39,15;1884,85;13739;diesel;7,1;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Sportwagen;mercedes sl;10419,00;0,009838462;1059007;0,000190623;1683;1608;6;1602;43,2;1558,8;13739;gasoline;8,4;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;MiniVan;B-Klasse;1001,00;0,002363955;423443;1,8314E-05;1651;1576;6;1570;33,75;1536,25;13739;diesel;5,6;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;GroﬂraumVans;peugeot 5008;11027,00;0,010412585;1059007;0,000201747;1847;1772;6;1766;39,15;1726,85;13739;gasoline;4,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Utilities;ford transit ;8598,00;0,020304976;423443;0,000157307;2062;1987;6;1981;54;1927;13739;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Wohnwagen;land rover defender ;46,00;0,000108633;423443;8,41604E-07;2966;2891;6;2885;50,625;2834,375;13739;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Mini;not available ;0,00;0;1410000,00;0;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Kleinwagen;Golf;23489,10;0,01665894;1410000,00;0,000262965;1624;1549;130;1419;23,625;1395,375;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;64;;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Kompaktklasse;A3;288924,33;0,20491087;1410000,00;0,00323456;1635;1560;130;1430;27;1403;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;66;73;12,8;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Mittelklasse;VWPassat;221240,14;0,156907902;1410000,00;0,002476823;1759;1684;130;1554;33,75;1520,25;13739;hybrid;1,3;16,3;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;;;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;obereMittelklasse;E300e9G-Tronics;104989,26;0,074460465;1410000,00;0,001175374;1985;1910;135;1775;33,75;1741,25;13739;hybrid;1,5;17;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;51;;13,5;90;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Oberklasse;Porschepanamera;15708,43;0,011140731;1410000,00;0,000175859;2285;2210;179;2031;54;1977;13739;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;54;;17,9;100;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;SUV;Renaultcapture;435510,20;0,308872482;1410000,00;0,004875615;1616;1541;103;1438;26,325;1411,675;13739;hybrid;1,5;17,3;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;54;65;9,8;49;25;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Gel‰ndewagen;volvoXC40;279463,64;0,198201164;1410000,00;0,003128646;1812;1737;107;1630;32,4;1597,6;13739;hybrid;2,1;15,2;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;45;55;10,7;60;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Sportwagen;Porschepanamera;3490,76;2,48E-03;1410000,00;3,90797E-05;2285;2210;179;2031;54;1977;13739;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;54;;17,9;100;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;MiniVan;Peogeot3008;30307,20;0,021494471;1410000,00;0,000339295;1908;1833;142;1691;29,025;1661,975;13739;hybrid;1,3;15,3;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;63;74;14,2;81;83;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;GroﬂraumVans;not available ;3,27;2,32E-06;1410000,00;3,65915E-08;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Utilities;VWMultivan;6865,49;4,87E-03;1410000,00;7,68604E-05;2257;2182;130;2052;30,375;2021,625;13739;hybrid;1,8;17,3;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;50;;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Wohnwagen;not available ;8,17;5,80E-06;1410000,00;9,14787E-08;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;Mini;fiat500e;1579620,21;0,197452527;8000000,00;0,197452527;1330;1255;182;1073;0;1073;13739;battery;0;13;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;190;257;23,8;70;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;Kleinwagen;renaultzoe;1739834,55;0,217479319;8000000,00;0,217479319;1577;1502;326;1176;0;1176;13739;battery;0;17,2;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;316;;44,1;80;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;Kompaktklasse;VWID.3;1099080,55;0,137385069;8000000,00;0,137385069;1815;1740;364;1376;0;1376;13739;battery;0;15,2;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;429;587;62;150;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;Mittelklasse;Model3;698393,64;0,087299205;8000000,00;0,087299205;1825;1750;310;1440;0;1440;13739;battery;0;14,4;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;491;;62;208;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;obereMittelklasse;i4;25393,24;0,003174155;8000000,00;0,003174155;2125;2050;419,5;1630,5;0;1630,5;13739;battery;0;16,3;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;584;;83,9;250;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;Oberklasse;Taycan;191371,55;0,023921443;8000000,00;0,023921443;2125;2050;396;1654;0;1654;13739;battery;0;20,3;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;432;451;79,2;300;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;SUV;ModelY;2241140,39;0,280142549;8000000,00;0,280142549;1984;1909;475;1434;0;1434;13739;battery;0;15,7;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;455;;62;220;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;Gel‰ndewagen;Q8;267527,42;0,033440927;8000000,00;0,033440927;2585;2510;475;2035;0;2035;13739;battery;0;20,3;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;488;;95;200;200;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;Sportwagen;not available ;278,26;3,47825E-05;8000000,00;3,47825E-05;0;0;0;0;0;0;13739;battery;0;0;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;MiniVan;Kiae-Soul;50738,78;0,006342348;8000000,00;0,006342348;1610;1535;315;1220;0;1220;13739;battery;0;15,6;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;276;407;42;100;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;GroﬂraumVans;pro ace city toyota ;27372,86;0,003421608;8000000,00;0,003421608;1664;1589;250;1339;0;1339;13739;battery;0;19,4;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;284;425;50;100;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;Utilities;e-Sprinter;78747,67;0,009843459;8000000,00;0,009843459;2455;2380;205;2175;0;2175;13739;battery;0;33,9;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;120;;41;85;0;50;27;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
bev;Wohnwagen;not available ;500,87;6,26086E-05;8000000,00;6,26086E-05;0;0;0;0;0;0;13739;battery;0;0;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,299;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
