unit;;;01.01.2023;;;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kg];[kg co2e/kg];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;;;
icev;Gel‰ndewagen;Tiguan; 947.191 ;0,021098808;0,19364029;0,19364029; 4.891.500 ;0,048923594;2005;1930;0;1930;39,15;1890,85;13739;diesel;6,6;0;7;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
icev;Sportwagen;911; 253.913 ;0,005655951;0,030562341;0,030562341; 8.308.045 ;0,016580557;1683;1608;0;1608;43,2;1564,8;13739;gasoline;8,4;0;9,5;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
icev;MiniVan;B-Klasse; 499.908 ;0,011135504;0,060171511;0,060171511; 8.308.045 ;0,032644003;1651;1576;0;1576;33,75;1542,25;13739;gasoline;5,6;0;5,8;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
icev;GroﬂraumVans;Touran; 735.755 ;0,016389043;0,15041509;0,15041509; 4.891.500 ;0,037200357;1847;1772;0;1772;39,15;1732,85;13739;diesel;4,5;0;7,1;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
icev;Utilities;Transporter; 302.333 ;0,006734505;0,061807829;0,061807829; 4.891.500 ;0,015286188;2062;1987;0;1987;54;1933;13739;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
icev;Wohnwagen;FiatDucato; 407.565 ;0,009078566;0,083321115;0,083321115; 4.891.500 ;0,02060681;2966;2891;0;2891;50,625;2840,375;13739;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Mini;fiat500;43756;0,00097467;0,029756776;0,029756776; 1.470.455 ;0,000800549;1177;1102;6;1096;23,625;1072,375;13739;gasoline;5,3;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Kleinwagen;kia rio;237345;0,005286889;0,161409224;0,161409224; 1.470.455 ;0,004342404;1278;1203;6;1197;27;1170;13739;gasoline;5,4;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Kompaktklasse;Golf ;255200;0,005684612;0,173551724;0,173551724; 1.470.455 ;0,004669074;1528;1453;6;1447;37,125;1409,875;13739;gasoline;5,2;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Mittelklasse; C-Klasse;236830;0,005275418;0,161058992;0,161058992; 1.470.455 ;0,004332982;1758;1683;6;1677;27;1650;13739;gasoline;6,3;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;obereMittelklasse;;150573;0,003354032;0,102398917;0,102398917; 1.470.455 ;0,002754845;1972;1897;6;1891;43,875;1847,125;13739;diesel;7,4;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Oberklasse;;23436;0,00052204;0,015937924;0,015937924; 1.470.455 ;0,000428779;2238;2163;6;2157;48,6;2108,4;13739;gasoline;9,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;SUV;hyundai kona ;301941;0,006725773;0,205338484;0,205338484; 1.470.455 ;0,005524236;1698;1623;6;1617;34,425;1582,575;13739;gasoline;6,1;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Gel‰ndewagen;nissan x-trail;190283;0,004238578;0,129404164;0,129404164; 1.470.455 ;0,00348137;2005;1930;6;1924;39,15;1884,85;13739;diesel;7,1;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Sportwagen;;10419;0,000232085;0,007085562;0,007085562; 1.470.455 ;0,000190623;1683;1608;6;1602;43,2;1558,8;13739;gasoline;8,4;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;MiniVan;;1001;2,22974E-05;0,000680742;0,000680742; 1.470.455 ;1,8314E-05;1651;1576;6;1570;33,75;1536,25;13739;diesel;5,6;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;GroﬂraumVans;;11027;0,000245628;0,007499039;0,007499039; 1.470.455 ;0,000201747;1847;1772;6;1766;39,15;1726,85;13739;gasoline;4,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Utilities;;8598;0,000191522;0,00584717;0,00584717; 1.470.455 ;0,000157307;2062;1987;6;1981;54;1927;13739;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Wohnwagen;;46;1,02466E-06;3,12828E-05;3,12828E-05; 1.470.455 ;8,41604E-07;2966;2891;6;2885;50,625;2834,375;13739;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Mini;not available ;0;0;0;0; 1.350.000 ;0;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Kleinwagen;Golf; 22.490 ;0,000500958;0,01665894;0,01665894; 1.350.000 ;0,000262965;1624;1549;130;1419;23,625;1395,375;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;64;;13;85;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Kompaktklasse;A3; 276.630 ;0,00616196;0,20491087;0,20491087; 1.350.000 ;0,00323456;1635;1560;130;1430;27;1403;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;66;73;12,8;85;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Mittelklasse;VWPassat; 211.826 ;0,004718443;0,156907902;0,156907902; 1.350.000 ;0,002476823;1759;1684;130;1554;33,75;1520,25;13739;hybrid;1,3;16,3;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;;;13;85;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;obereMittelklasse;E300e9G-Tronics; 100.522 ;0,002239132;0,074460465;0,074460465; 1.350.000 ;0,001175374;1985;1910;135;1775;33,75;1741,25;13739;hybrid;1,5;17;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;51;;13,5;90;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Oberklasse;Porschepanamera; 15.040 ;0,000335018;0,011140731;0,011140731; 1.350.000 ;0,000175859;2285;2210;179;2031;54;1977;13739;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;54;;17,9;100;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;SUV;Renaultcapture; 416.978 ;0,009288234;0,308872482;0,308872482; 1.350.000 ;0,004875615;1616;1541;103;1438;26,325;1411,675;13739;hybrid;1,5;17,3;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;54;65;9,8;49;25;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Gel‰ndewagen;volvoXC40; 267.572 ;0,00596019;0,198201164;0,198201164; 1.350.000 ;0,003128646;1812;1737;107;1630;32,4;1597,6;13739;hybrid;2,1;15,2;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;45;55;10,7;60;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Sportwagen;Porschepanamera; 3.342 ;7,44484E-05;0,002475718;0,002475718; 1.350.000 ;3,90797E-05;2285;2210;179;2031;54;1977;13739;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;54;;17,9;100;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;MiniVan;Peogeot3008; 29.018 ;0,000646369;0,021494471;0,021494471; 1.350.000 ;0,000339295;1908;1833;142;1691;29,025;1661,975;13739;hybrid;1,3;15,3;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;63;74;14,2;81;83;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;GroﬂraumVans;not available ; 3 ;6,97082E-08;2,31809E-06;2,31809E-06; 1.350.000 ;3,65915E-08;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Utilities;VWMultivan; 6.573 ;0,000146422;0,004869144;0,004869144; 1.350.000 ;7,68604E-05;2257;2182;130;2052;30,375;2021,625;13739;hybrid;1,8;17,3;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;50;;13;85;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Wohnwagen;not available ; 8 ;1,7427E-07;5,79522E-06;5,79522E-06; 1.350.000 ;9,14787E-08;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
bev;Mini;fiat500e; 5.726.123 ;0,127550109;0,197452527;0,197452527; 29.000.000 ;0,197452527;1330;1255;182;1073;0;1073;13739;battery;0;13;;6,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;190;257;23,8;70;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
bev;Kleinwagen;renaultzoe; 6.306.900 ;0,140486988;0,217479319;0,217479319; 29.000.000 ;0,217479319;1577;1502;326;1176;0;1176;13739;battery;0;17,2;;6,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;316;;44,1;80;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
bev;Kompaktklasse;VWID.3; 3.984.167 ;0,088747816;0,137385069;0,137385069; 29.000.000 ;0,137385069;1815;1740;364;1376;0;1376;13739;battery;0;15,2;;6,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;429;587;62;150;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
bev;Mittelklasse;Model3; 2.531.677 ;0,056393419;0,087299205;0,087299205; 29.000.000 ;0,087299205;1825;1750;310;1440;0;1440;13739;battery;0;14,4;;6,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,149;491;;62;208;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
